rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_score,ra,dec,koi_kepmag
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,1.0000,291.934230,48.141651,15.347
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,0.9690,291.934230,48.141651,15.347
3,10811496,K00753.01,,FALSE POSITIVE,0.0000,297.004820,48.134129,15.436
4,10848459,K00754.01,,FALSE POSITIVE,0.0000,285.534610,48.285210,15.597
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,1.0000,288.754880,48.226200,15.509
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,1.0000,296.286130,48.224670,15.714
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,1.0000,296.286130,48.224670,15.714
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,0.9920,296.286130,48.224670,15.714
9,6721123,K00114.01,,FALSE POSITIVE,0.0000,298.864350,42.151569,12.660
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,1.0000,286.999480,48.375790,15.841
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,0.8110,286.808470,49.316399,11.338
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,1.0000,292.247280,47.969521,10.463
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,0.9980,281.288120,42.451080,13.563
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,1.0000,295.648710,48.495560,12.772
15,10419211,K00742.01,,FALSE POSITIVE,0.0000,297.079930,47.597401,15.472
16,10464078,K00743.01,,FALSE POSITIVE,0.0000,289.258210,47.635319,15.487
17,10480982,K00744.01,,FALSE POSITIVE,0.0000,295.814540,47.690350,15.341
18,10485250,K00745.01,,FALSE POSITIVE,0.0000,297.154420,47.668701,15.788
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,1.0000,288.138240,47.724449,15.302
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,1.0000,283.710880,47.863270,15.784
21,10583180,K00748.01,,FALSE POSITIVE,0.0000,283.765470,47.804298,15.269
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,1.0000,292.376130,47.880989,15.416
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,0.9800,292.376130,47.880989,15.416
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,0.9710,292.376130,47.880989,15.416
25,2306756,K00113.01,,FALSE POSITIVE,,292.273740,37.671558,12.394
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,1.0000,290.465120,47.929180,15.377
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,1.0000,297.808260,47.946671,15.861
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,1.0000,294.265810,49.314091,15.356
29,11463211,K00770.01,,FALSE POSITIVE,0.0000,295.665220,49.351009,15.525
30,11465813,K00771.01,,FALSE POSITIVE,0.0000,296.698610,49.316479,15.207
31,11493732,K00772.01,,FALSE POSITIVE,0.0000,283.725920,49.479519,15.250
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,1.0000,291.722020,49.480869,15.172
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,0.9920,286.999480,48.375790,15.841
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,1.0000,286.999480,48.375790,15.841
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,1.0000,297.025630,48.478588,15.390
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,1.0000,285.718540,48.505859,15.082
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,0.9780,285.718540,48.505859,15.082
38,11138155,K00760.01,,CANDIDATE,1.0000,292.167050,48.727589,15.263
39,11152159,K00761.01,,FALSE POSITIVE,0.0000,297.923650,48.777321,15.540
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,1.0000,298.456850,48.791592,15.395
41,11242721,K00763.01,,FALSE POSITIVE,0.0000,291.093900,48.933842,15.536
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,1.0000,287.887330,46.276241,12.791
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,0.9980,295.555050,49.017342,15.400
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,1.0000,285.499240,49.277351,15.317
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,1.0000,291.936160,49.253979,15.506
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,1.0000,297.015470,49.225288,15.052
47,11442465,K00768.01,,FALSE POSITIVE,0.0000,284.172330,49.360722,15.716
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,1.0000,291.622410,50.618240,15.242
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,1.0000,295.816160,51.121738,15.367
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,1.0000,295.816160,51.121738,15.367
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,1.0000,289.399720,51.250320,15.234
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,1.0000,300.863980,44.337551,12.882
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,1.0000,287.887330,46.276241,12.791
54,11656840,K00774.01,,FALSE POSITIVE,0.0140,288.986820,49.733742,15.270
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,1.0000,286.738040,49.975750,15.095
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,1.0000,286.738040,49.975750,15.095
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,1.0000,286.738040,49.975750,15.095
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,1.0000,290.785740,50.054119,15.523
59,11818800,K00777.01,,CANDIDATE,0.9990,294.316860,50.080231,15.487
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,1.0000,285.176210,50.149818,15.135
61,11909839,K00779.01,,FALSE POSITIVE,0.0000,289.235530,50.241001,15.562
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,1.0000,293.833310,50.230350,15.334
63,11918099,K00780.02,,CANDIDATE,0.9930,293.833310,50.230350,15.334
64,9579641,K00115.03,,CANDIDATE,0.8710,287.887330,46.276241,12.791
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,1.0000,296.221950,50.287220,15.937
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,1.0000,290.098050,50.321609,15.312
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,1.0000,295.455290,50.494560,15.080
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,1.0000,293.973360,50.531910,15.385
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,1.0000,293.973360,50.531910,15.385
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,1.0000,296.021330,50.567780,15.505
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,0.9980,300.863980,44.337551,12.882
72,3120431,K00798.01,,FALSE POSITIVE,0.0000,292.315950,38.270290,15.629
73,3246984,K00799.01,,CANDIDATE,0.7730,294.368190,38.310280,15.279
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,1.0000,291.653530,38.494659,15.541
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,1.0000,291.653530,38.494659,15.541
76,12459725,K00789.01,,FALSE POSITIVE,,291.044800,51.321671,15.727
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,1.0000,296.366520,51.319519,15.339
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,0.9890,296.366520,51.319519,15.339
79,12644822,K00791.01,Kepler-682 b,CONFIRMED,1.0000,289.112210,51.737381,15.140
80,2440757,K00792.01,,FALSE POSITIVE,0.0000,290.843690,37.728828,15.122
81,2445129,K00793.01,,FALSE POSITIVE,0.0000,291.848910,37.713501,15.065
82,2713049,K00794.01,Kepler-683 b,CONFIRMED,1.0000,291.439970,37.905659,15.026
83,3114167,K00795.01,Kepler-684 b,CONFIRMED,1.0000,290.870510,38.273628,15.591
84,3114661,K00796.01,,FALSE POSITIVE,0.0000,290.996890,38.284920,15.748
85,3115833,K00797.01,,CANDIDATE,1.0000,291.281950,38.241669,15.657
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,1.0000,286.079130,39.278320,15.954
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,1.0000,286.079130,39.278320,15.954
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,0.9520,300.863980,44.337551,12.882
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,0.9940,286.079130,39.278320,15.954
90,4275191,K00813.01,Kepler-688 b,CONFIRMED,1.0000,294.655240,39.308361,15.725
91,4476123,K00814.01,Kepler-689 b,CONFIRMED,0.9990,294.710630,39.521740,15.583
92,3351888,K00801.01,Kepler-685 b,CONFIRMED,1.0000,293.871920,38.422939,15.001
93,3453214,K00802.01,,CANDIDATE,1.0000,293.816190,38.563568,15.562
94,3554600,K00803.01,,FALSE POSITIVE,0.0000,293.941160,38.601101,15.559
95,3641726,K00804.01,,CANDIDATE,1.0000,290.333620,38.728230,15.387
96,3734868,K00805.01,,FALSE POSITIVE,0.0530,287.696750,38.886452,15.646
97,3832474,K00806.01,Kepler-30 d,CONFIRMED,1.0000,285.283630,38.947281,15.403
98,8395660,K00116.03,Kepler-106 b,CONFIRMED,0.9500,300.863980,44.337551,12.882
99,3832474,K00806.02,Kepler-30 c,CONFIRMED,0.7450,285.283630,38.947281,15.403
100,3832474,K00806.03,Kepler-30 b,CONFIRMED,,285.283630,38.947281,15.403
101,3836375,K00807.01,,FALSE POSITIVE,0.0000,286.926390,38.921631,15.974
102,3838486,K00808.01,,FALSE POSITIVE,0.0000,287.748810,38.929550,15.842
103,3935914,K00809.01,Kepler-686 b,CONFIRMED,1.0000,285.213810,39.027481,15.530
104,3940418,K00810.01,,CANDIDATE,1.0000,287.093990,39.060719,15.119
105,4049131,K00811.01,Kepler-687 b,CONFIRMED,1.0000,289.315430,39.153278,15.398
106,4139816,K00812.01,Kepler-235 b,CONFIRMED,1.0000,286.079130,39.278320,15.954
107,5287983,K00828.01,,FALSE POSITIVE,0.0000,295.378050,40.493401,15.555
108,5358241,K00829.01,Kepler-53 b,CONFIRMED,1.0000,290.461760,40.562462,15.386
109,10875245,K00117.02,Kepler-107 c,CONFIRMED,1.0000,297.028260,48.208611,12.487
110,5358241,K00829.02,Kepler-53 d,CONFIRMED,0.9980,290.461760,40.562462,15.386
111,5358241,K00829.03,Kepler-53 c,CONFIRMED,1.0000,290.461760,40.562462,15.386
112,5358624,K00830.01,Kepler-428 b,CONFIRMED,0.9900,290.581730,40.577400,15.224
113,4544670,K00815.01,,CANDIDATE,1.0000,285.920010,39.624828,15.684
114,4664847,K00816.01,Kepler-690 b,CONFIRMED,1.0000,294.489900,39.771439,15.670
115,4725681,K00817.01,Kepler-236 c,CONFIRMED,1.0000,283.866390,39.898079,15.414
116,4913852,K00818.01,Kepler-691 b,CONFIRMED,1.0000,288.812010,40.033401,15.877
117,4932348,K00819.01,,FALSE POSITIVE,0.0000,294.147890,40.055538,15.472
118,4936180,K00820.01,,FALSE POSITIVE,0.0000,295.113710,40.071171,15.270
119,11913073,K00011.01,,FALSE POSITIVE,0.0000,291.061520,50.265129,13.496
120,10875245,K00117.01,Kepler-107 e,CONFIRMED,0.9920,297.028260,48.208611,12.487
121,5021899,K00821.01,Kepler-692 b,CONFIRMED,1.0000,294.776860,40.153740,15.540
122,5077629,K00822.01,,FALSE POSITIVE,0.0000,283.538450,40.217999,15.805
123,5115978,K00823.01,,CANDIDATE,,296.006990,40.295429,15.202
124,5164255,K00824.01,Kepler-693 b,CONFIRMED,1.0000,283.253540,40.358189,16.422
125,5252423,K00825.01,Kepler-237 c,CONFIRMED,1.0000,283.221410,40.421829,15.289
126,5252423,K00825.02,Kepler-237 b,CONFIRMED,1.0000,283.221410,40.421829,15.289
127,5272878,K00826.01,Kepler-694 b,CONFIRMED,1.0000,291.149510,40.420521,15.090
128,5283542,K00827.01,,FALSE POSITIVE,0.0370,294.223970,40.417858,15.546
129,5649215,K00839.01,,FALSE POSITIVE,0.0000,298.961120,40.862808,15.021
130,5651104,K00840.01,Kepler-695 b,CONFIRMED,1.0000,299.316100,40.822380,15.028
131,5792202,K00841.01,Kepler-27 b,CONFIRMED,1.0000,292.236760,41.085880,15.855
132,10875245,K00117.04,Kepler-107 d,CONFIRMED,0.9980,297.028260,48.208611,12.487
133,5792202,K00841.02,Kepler-27 c,CONFIRMED,1.0000,292.236760,41.085880,15.855
134,5370302,K00831.01,,FALSE POSITIVE,0.0060,294.056760,40.549679,15.016
135,5372966,K00832.01,,FALSE POSITIVE,0.0000,294.743960,40.533920,15.365
136,5376067,K00833.01,,FALSE POSITIVE,0.0000,295.504390,40.505489,15.446
137,5436502,K00834.01,Kepler-238 e,CONFIRMED,0.9990,287.897130,40.637821,15.084
138,5436502,K00834.02,Kepler-238 d,CONFIRMED,0.9960,287.897130,40.637821,15.084
139,5436502,K00834.03,Kepler-238 c,CONFIRMED,0.9970,287.897130,40.637821,15.084
140,5436502,K00834.04,Kepler-238 b,CONFIRMED,1.0000,287.897130,40.637821,15.084
141,10875245,K00117.03,Kepler-107 b,CONFIRMED,0.9950,297.028260,48.208611,12.487
142,5436502,K00834.05,Kepler-238 f,CONFIRMED,0.9890,287.897130,40.637821,15.084
143,5456651,K00835.01,Kepler-239 b,CONFIRMED,1.0000,294.202150,40.663410,15.208
144,5456651,K00835.02,Kepler-239 c,CONFIRMED,0.8780,294.202150,40.663410,15.208
145,5481416,K00836.01,,FALSE POSITIVE,0.0000,299.642850,40.691238,15.836
146,5531576,K00837.01,Kepler-240 c,CONFIRMED,1.0000,291.158780,40.750271,15.660
147,5531576,K00837.02,Kepler-240 b,CONFIRMED,1.0000,291.158780,40.750271,15.660
148,5534814,K00838.01,,FALSE POSITIVE,0.0000,292.214360,40.759762,15.311
149,6291653,K00850.01,Kepler-702 b,CONFIRMED,0.9990,293.878110,41.661770,15.305
150,6392727,K00851.01,Kepler-703 b,CONFIRMED,1.0000,299.186860,41.742680,15.287
151,6422070,K00852.01,Kepler-704 b,CONFIRMED,0.8760,283.316380,41.837120,15.257
152,6428700,K00853.01,Kepler-242 b,CONFIRMED,1.0000,286.565700,41.808399,15.376
153,6428700,K00853.02,Kepler-242 c,CONFIRMED,1.0000,286.565700,41.808399,15.376
154,5792202,K00841.03,,CANDIDATE,1.0000,292.236760,41.085880,15.855
155,5794379,K00842.01,Kepler-241 b,CONFIRMED,1.0000,292.913120,41.060921,15.389
156,5794379,K00842.02,Kepler-241 c,CONFIRMED,0.9990,292.913120,41.060921,15.389
157,5881688,K00843.01,Kepler-696 b,CONFIRMED,1.0000,293.496610,41.137589,15.270
158,6022556,K00844.01,Kepler-697 b,CONFIRMED,1.0000,283.864410,41.346458,15.581
159,6032497,K00845.01,Kepler-698 b,CONFIRMED,1.0000,288.510010,41.301769,15.447
160,6061119,K00846.01,Kepler-699 b,CONFIRMED,0.9850,296.888210,41.396091,15.482
161,6191521,K00847.01,Kepler-700 b,CONFIRMED,0.9420,287.154300,41.565788,15.201
162,6267425,K00848.01,,FALSE POSITIVE,0.0000,284.869290,41.679192,15.999
163,3531558,K00118.01,Kepler-467 b,CONFIRMED,0.9120,287.362790,38.649601,12.377
164,6276477,K00849.01,Kepler-701 b,CONFIRMED,1.0000,288.994200,41.633282,15.018
165,6863998,K00867.01,Kepler-709 b,CONFIRMED,1.0000,292.105190,42.380322,15.219
166,6867155,K00868.01,,CANDIDATE,0.9980,293.007970,42.307201,15.172
167,6948054,K00869.01,Kepler-245 b,CONFIRMED,1.0000,291.638980,42.436321,15.599
168,6948054,K00869.02,Kepler-245 d,CONFIRMED,1.0000,291.638980,42.436321,15.599
169,6948054,K00869.03,Kepler-245 c,CONFIRMED,1.0000,291.638980,42.436321,15.599
170,6435936,K00854.01,Kepler-705 b,CONFIRMED,0.9960,289.508480,41.812119,15.849
171,6522242,K00855.01,Kepler-706 b,CONFIRMED,0.9740,291.760410,41.944069,15.196
172,6526710,K00856.01,,CANDIDATE,0.9940,293.179290,41.969238,15.344
173,6587280,K00857.01,Kepler-243 b,CONFIRMED,1.0000,285.110470,42.033958,15.086
174,9471974,K00119.01,Kepler-108 b,CONFIRMED,0.9590,294.559170,46.062328,12.654
175,6587280,K00857.02,Kepler-243 c,CONFIRMED,0.9940,285.110470,42.033958,15.086
176,6599919,K00858.01,,FALSE POSITIVE,0.0000,289.897770,42.009151,15.060
177,6675056,K00859.01,,FALSE POSITIVE,0.0000,286.243560,42.148811,15.546
178,6685526,K00861.01,Kepler-707 b,CONFIRMED,1.0000,290.007570,42.116459,15.001
179,6756669,K00862.01,,FALSE POSITIVE,0.0000,284.087310,42.233231,15.330
180,6784235,K00863.01,Kepler-708 b,CONFIRMED,1.0000,293.816470,42.212502,15.533
181,6849310,K00864.01,Kepler-244 b,CONFIRMED,1.0000,287.242680,42.301369,15.604
182,6849310,K00864.02,Kepler-244 d,CONFIRMED,1.0000,287.242680,42.301369,15.604
183,6849310,K00864.03,Kepler-244 c,CONFIRMED,1.0000,287.242680,42.301369,15.604
184,6862328,K00865.01,,CANDIDATE,1.0000,291.583770,42.368160,15.085
185,9471974,K00119.02,Kepler-108 c,CONFIRMED,0.9870,294.559170,46.062328,12.654
186,6862603,K00866.01,,FALSE POSITIVE,0.0000,291.671720,42.343109,15.618
187,7366258,K00880.01,Kepler-82 b,CONFIRMED,1.0000,292.873380,42.966141,15.158
188,7366258,K00880.02,Kepler-82 c,CONFIRMED,0.9830,292.873380,42.966141,15.158
189,7366258,K00880.03,Kepler-82 e,CONFIRMED,1.0000,292.873380,42.966141,15.158
190,7366258,K00880.04,Kepler-82 d,CONFIRMED,1.0000,292.873380,42.966141,15.158
191,7373451,K00881.01,Kepler-712 b,CONFIRMED,1.0000,294.909730,42.935261,15.859
192,6948054,K00869.04,Kepler-245 e,CONFIRMED,1.0000,291.638980,42.436321,15.599
193,6949607,K00870.01,Kepler-28 b,CONFIRMED,1.0000,292.137020,42.429420,15.036
194,6949607,K00870.02,Kepler-28 c,CONFIRMED,1.0000,292.137020,42.429420,15.036
195,7031517,K00871.01,,FALSE POSITIVE,0.0000,291.119690,42.507069,15.215
196,11869052,K00120.01,,CANDIDATE,0.5730,294.401920,50.172089,12.003
197,7109675,K00872.01,Kepler-46 b,CONFIRMED,1.0000,289.268740,42.604172,15.262
198,7109675,K00872.02,Kepler-46 d,CONFIRMED,1.0000,289.268740,42.604172,15.262
199,7118364,K00873.01,Kepler-710 b,CONFIRMED,1.0000,291.964170,42.696140,15.024
200,7134976,K00874.01,Kepler-246 b,CONFIRMED,1.0000,296.483430,42.663429,15.024
201,7134976,K00874.02,Kepler-246 c,CONFIRMED,0.9970,296.483430,42.663429,15.024
202,7135852,K00875.01,,CANDIDATE,1.0000,296.693940,42.626110,15.692
203,7270230,K00876.01,,FALSE POSITIVE,0.0000,287.884120,42.832439,15.877
204,7287995,K00877.01,Kepler-81 b,CONFIRMED,1.0000,293.636960,42.824970,15.019
205,7287995,K00877.02,Kepler-81 c,CONFIRMED,1.0000,293.636960,42.824970,15.019
206,7287995,K00877.03,Kepler-81 d,CONFIRMED,0.9980,293.636960,42.824970,15.019
207,3247396,K00121.01,,FALSE POSITIVE,0.0000,294.460880,38.383461,12.759
208,7303253,K00878.01,Kepler-711 b,CONFIRMED,1.0000,297.460020,42.839920,15.316
209,5094751,K00123.01,Kepler-109 b,CONFIRMED,1.0000,290.392730,40.284870,12.365
210,7678434,K00892.01,Kepler-716 b,CONFIRMED,1.0000,290.393220,43.363899,15.193
211,7678434,K00892.02,,CANDIDATE,1.0000,290.393220,43.363899,15.193
212,7685981,K00893.01,Kepler-717 b,CONFIRMED,1.0000,292.965550,43.346390,15.662
213,7708215,K00894.01,,FALSE POSITIVE,0.0000,299.001430,43.399632,15.260
214,7373451,K00881.02,Kepler-712 c,CONFIRMED,1.0000,294.909730,42.935261,15.859
215,7377033,K00882.01,,FALSE POSITIVE,0.0000,295.835360,42.943062,15.533
216,7380537,K00883.01,,CANDIDATE,0.9970,296.683070,42.967869,15.766
217,7434875,K00884.01,Kepler-247 c,CONFIRMED,1.0000,288.642520,43.039291,15.067
218,8349582,K00122.01,Kepler-95 b,CONFIRMED,1.0000,284.482450,44.398041,12.346
219,7434875,K00884.02,Kepler-247 d,CONFIRMED,0.0000,288.642520,43.039291,15.067
220,7434875,K00884.03,Kepler-247 b,CONFIRMED,1.0000,288.642520,43.039291,15.067
221,7455287,K00886.01,Kepler-54 b,CONFIRMED,1.0000,294.773930,43.056301,15.847
222,7455287,K00886.02,Kepler-54 c,CONFIRMED,1.0000,294.773930,43.056301,15.847
223,7455287,K00886.03,Kepler-54 d,CONFIRMED,0.9860,294.773930,43.056301,15.847
224,7458762,K00887.01,Kepler-713 b,CONFIRMED,1.0000,295.651490,43.029831,15.031
225,7552344,K00888.01,,FALSE POSITIVE,0.0000,297.975130,43.164909,15.419
226,757450,K00889.01,Kepler-75 b,CONFIRMED,0.9990,291.137600,36.577381,15.264
227,7585481,K00890.01,Kepler-714 b,CONFIRMED,1.0000,282.699520,43.272739,15.261
228,7663691,K00891.01,Kepler-715 b,CONFIRMED,1.0000,283.630770,43.379398,15.063
229,5812701,K00012.01,Kepler-448 b,CONFIRMED,0.6350,297.453740,41.010990,11.353
230,8013419,K00901.01,,CANDIDATE,1.0000,285.167480,43.876339,15.750
231,8018547,K00902.01,,CANDIDATE,0.9660,287.852390,43.897991,15.754
232,8039892,K00903.01,Kepler-719 b,CONFIRMED,1.0000,295.536130,43.884449,15.813
233,8150320,K00904.01,Kepler-55 d,CONFIRMED,1.0000,285.168330,44.026459,15.791
234,8150320,K00904.02,Kepler-55 b,CONFIRMED,0.9970,285.168330,44.026459,15.791
235,11086270,K00124.01,Kepler-110 b,CONFIRMED,0.4150,292.929140,48.602810,12.935
236,7767559,K00895.01,,FALSE POSITIVE,0.2280,296.410190,43.455391,15.403
237,7825899,K00896.01,Kepler-248 c,CONFIRMED,1.0000,293.061400,43.581360,15.258
238,7825899,K00896.02,Kepler-248 b,CONFIRMED,1.0000,293.061400,43.581360,15.258
239,7849854,K00897.01,Kepler-718 b,CONFIRMED,1.0000,299.561890,43.503559,15.257
240,7870390,K00898.01,Kepler-83 b,CONFIRMED,1.0000,282.232510,43.665630,15.777
241,7870390,K00898.02,Kepler-83 d,CONFIRMED,1.0000,282.232510,43.665630,15.777
242,5094751,K00123.02,Kepler-109 c,CONFIRMED,1.0000,290.392730,40.284870,12.365
243,7870390,K00898.03,Kepler-83 c,CONFIRMED,1.0000,282.232510,43.665630,15.777
244,7907423,K00899.01,Kepler-249 c,CONFIRMED,0.9990,296.985050,43.658520,15.234
245,7907423,K00899.02,Kepler-249 b,CONFIRMED,0.9990,296.985050,43.658520,15.234
246,7907423,K00899.03,Kepler-249 d,CONFIRMED,0.9980,296.985050,43.658520,15.234
247,7938496,K00900.01,,CANDIDATE,1.0000,281.960630,43.703110,15.425
248,8490993,K00911.01,Kepler-722 b,CONFIRMED,1.0000,290.263280,44.556450,15.399
249,8490993,K00911.02,Kepler-722 c,CONFIRMED,0.9990,290.263280,44.556450,15.399
250,8505670,K00912.01,Kepler-252 c,CONFIRMED,1.0000,295.579350,44.545959,15.058
251,8505670,K00912.02,Kepler-252 b,CONFIRMED,1.0000,295.579350,44.545959,15.058
252,8544996,K00913.01,Kepler-723 b,CONFIRMED,0.9970,284.830470,44.658138,15.198
253,8552202,K00914.01,,CANDIDATE,1.0000,288.726650,44.607510,15.371
254,8150320,K00904.03,Kepler-55 c,CONFIRMED,1.0000,285.168330,44.026459,15.791
255,8150320,K00904.04,Kepler-55 e,CONFIRMED,1.0000,285.168330,44.026459,15.791
256,8150320,K00904.05,Kepler-55 f,CONFIRMED,0.9960,285.168330,44.026459,15.791
257,8180063,K00905.01,,FALSE POSITIVE,0.0000,296.507540,44.036072,15.289
258,8226994,K00906.01,Kepler-250 c,CONFIRMED,1.0000,289.594760,44.141949,15.460
259,8226994,K00906.02,Kepler-250 d,CONFIRMED,1.0000,289.594760,44.141949,15.460
260,8226994,K00906.03,Kepler-250 b,CONFIRMED,0.9570,289.594760,44.141949,15.460
261,8247638,K00907.01,Kepler-251 c,CONFIRMED,1.0000,296.566220,44.105862,15.223
262,8247638,K00907.02,Kepler-251 d,CONFIRMED,1.0000,296.566220,44.105862,15.223
263,8247638,K00907.03,Kepler-251 b,CONFIRMED,1.0000,296.566220,44.105862,15.223
264,11086270,K00124.02,Kepler-110 c,CONFIRMED,1.0000,292.929140,48.602810,12.935
265,8247638,K00907.04,Kepler-251 e,CONFIRMED,1.0000,296.566220,44.105862,15.223
266,8255887,K00908.01,Kepler-720 b,CONFIRMED,1.0000,298.635650,44.170940,15.113
267,8256049,K00909.01,,FALSE POSITIVE,0.0000,298.678620,44.175499,15.654
268,8414716,K00910.01,Kepler-721 b,CONFIRMED,1.0000,284.430510,44.480530,15.651
269,9140402,K00928.01,,CANDIDATE,1.0000,284.759430,45.599129,15.251
270,9141746,K00929.01,Kepler-730 b,CONFIRMED,1.0000,285.554810,45.578861,15.649
271,9159275,K00930.01,,FALSE POSITIVE,0.0000,293.684940,45.516830,15.621
272,9166862,K00931.01,Kepler-731 b,CONFIRMED,0.9990,296.393160,45.568562,15.272
273,9166870,K00932.01,,FALSE POSITIVE,0.0000,296.395420,45.569920,15.054
274,11449844,K00125.01,Kepler-468 b,CONFIRMED,0.9200,288.902220,49.370491,13.779
275,8605074,K00915.01,,FALSE POSITIVE,0.0000,282.306030,44.714661,15.505
276,8628973,K00916.01,Kepler-724 b,CONFIRMED,1.0000,293.454830,44.792789,15.142
277,8655354,K00917.01,,FALSE POSITIVE,0.0000,301.049560,44.706299,15.172
278,8672910,K00918.01,Kepler-725 b,CONFIRMED,0.9960,283.977510,44.811562,15.011
279,8686150,K00919.01,,FALSE POSITIVE,0.0000,290.638980,44.806789,15.631
280,8689031,K00920.01,Kepler-726 b,CONFIRMED,1.0000,291.717320,44.887310,15.067
281,8689373,K00921.01,Kepler-253 c,CONFIRMED,1.0000,291.841980,44.858089,15.532
282,8689373,K00921.02,Kepler-253 d,CONFIRMED,1.0000,291.841980,44.858089,15.532
283,8689373,K00921.03,Kepler-253 b,CONFIRMED,1.0000,291.841980,44.858089,15.532
284,8826878,K00922.01,Kepler-727 b,CONFIRMED,1.0000,294.846890,45.034409,15.365
285,5897826,K00126.01,Kepler-469 b,FALSE POSITIVE,0.0000,297.475860,41.114288,13.109
286,8883593,K00923.01,Kepler-728 b,CONFIRMED,1.0000,291.092350,45.115528,15.543
287,8951215,K00924.01,,CANDIDATE,1.0000,291.208040,45.244389,15.229
288,9016295,K00925.01,,FALSE POSITIVE,0.0000,289.727480,45.367661,15.217
289,9077124,K00926.01,Kepler-729 b,CONFIRMED,1.0000,286.360110,45.414291,15.603
290,9097120,K00927.01,,FALSE POSITIVE,0.0000,294.717680,45.485760,15.453
291,9466668,K00939.01,Kepler-256 c,CONFIRMED,1.0000,292.580440,46.097389,15.065
292,9466668,K00939.02,Kepler-256 d,CONFIRMED,1.0000,292.580440,46.097389,15.065
293,9466668,K00939.03,Kepler-256 b,CONFIRMED,1.0000,292.580440,46.097389,15.065
294,9466668,K00939.04,Kepler-256 e,CONFIRMED,1.0000,292.580440,46.097389,15.065
295,9479273,K00940.01,Kepler-734 b,CONFIRMED,1.0000,297.045620,46.027359,15.017
296,8359498,K00127.01,Kepler-77 b,CONFIRMED,0.9990,289.607970,44.345421,13.938
297,9171801,K00933.01,,FALSE POSITIVE,0.0000,297.788480,45.565418,15.653
298,9334289,K00934.01,Kepler-254 b,CONFIRMED,1.0000,288.164700,45.816509,15.843
299,9334289,K00934.02,Kepler-254 c,CONFIRMED,0.9980,288.164700,45.816509,15.843
300,9334289,K00934.03,Kepler-254 d,CONFIRMED,1.0000,288.164700,45.816509,15.843
301,9347899,K00935.01,Kepler-31 b,CONFIRMED,1.0000,294.023010,45.853081,15.237
