rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_score,ra,dec,koi_kepmag
9053,6044064,K06652.01,,FALSE POSITIVE,0.0000,292.353150,41.324242,15.001
9054,4072271,K07680.01,,CANDIDATE,0.4270,295.315120,39.141048,12.449
9055,4073089,K07682.01,,FALSE POSITIVE,0.0000,295.490110,39.105862,14.048
9056,4252671,K07687.01,,CANDIDATE,0.9500,288.869080,39.309860,13.047
9057,4390912,K07695.01,,FALSE POSITIVE,0.0000,297.333770,39.447590,12.467
9058,4472143,K07696.01,,FALSE POSITIVE,0.0440,293.725280,39.511971,14.002
9059,6696580,K02092.01,Kepler-359 c,CONFIRMED,0.9810,293.293640,42.196350,15.886
9060,3234598,K02413.01,Kepler-383 b,CONFIRMED,1.0000,291.342590,38.363129,15.070
9061,8380709,K02468.01,Kepler-1249 b,CONFIRMED,0.9970,296.894840,44.371780,15.373
9062,11752632,K02492.01,Kepler-1258 b,CONFIRMED,1.0000,285.404940,49.994740,13.835
9063,11179076,K02497.01,Kepler-1261 b,CONFIRMED,0.9850,285.232450,48.806721,15.605
9064,10452252,K08012.01,,CANDIDATE,0.9890,283.150570,47.671967,15.708
9065,10462462,K08013.01,,FALSE POSITIVE,0.0000,288.495820,47.640781,16.951
9066,10470882,K08014.01,,FALSE POSITIVE,0.0000,292.080990,47.613461,15.958
9067,10470993,K08015.01,,FALSE POSITIVE,0.0000,292.122770,47.646069,14.616
9068,10471055,K08017.01,,FALSE POSITIVE,0.0000,292.141020,47.626240,15.024
9069,10471204,K08018.01,,FALSE POSITIVE,0.0000,292.205230,47.648300,15.824
9070,6119605,K08118.01,,FALSE POSITIVE,0.1330,290.519930,41.465130,14.288
9071,6230649,K08119.01,,FALSE POSITIVE,0.0010,298.462130,41.525600,11.765
9072,6286633,K08120.01,,FALSE POSITIVE,0.0000,292.326110,41.671761,10.664
9073,6451125,K08121.01,,FALSE POSITIVE,0.0000,294.421450,41.896900,13.492
9074,6507334,K08122.01,,CANDIDATE,0.7310,286.470370,41.994789,14.840
9075,6516529,K08123.01,,FALSE POSITIVE,0.0020,289.984190,41.918591,13.782
9076,11501492,K08226.01,,FALSE POSITIVE,0.0000,288.724060,49.466091,15.155
9077,11558217,K08227.01,,FALSE POSITIVE,0.2230,291.344020,49.577091,13.503
9078,11649292,K08228.01,,FALSE POSITIVE,0.0150,284.109530,49.733379,13.822
9079,11760931,K08229.01,,FALSE POSITIVE,0.0960,290.603490,49.992420,14.209
9080,11854061,K08230.01,,FALSE POSITIVE,0.0010,285.734740,50.124962,15.588
9081,6131659,K06667.01,,FALSE POSITIVE,0.0000,294.279080,41.436901,12.534
9082,6207053,K06675.01,,FALSE POSITIVE,0.0000,292.501500,41.549061,15.553
9083,6664842,K06750.01,,CANDIDATE,0.7880,281.520200,42.169472,14.430
